Pair,λ1 %,λ2 %,ADF p-value
NEAR–ARB,99.36,0.64,0.0
NEAR–LDO,94.85,5.15,0.0
NEAR–LINK,99.42,0.58,0.0
LDO–LINK,99.91,0.09,0.00086
ARB–LINK,99.98,0.02,0.00141
ARB–LDO,98.83,1.17,0.00171
NEAR–AAVE,100.0,0.0,0.00179
AVAX–OP,99.95,0.05,0.00528
ARB–AAVE,100.0,0.0,0.00743
LINK–AAVE,99.92,0.08,0.00822
LDO–AAVE,100.0,0.0,0.01395
NEAR–OP,96.02,3.98,0.04488
OP–AAVE,100.0,0.0,0.0548
OP–LINK,99.87,0.13,0.06603
OP–LDO,90.88,9.12,0.08675
AVAX–AAVE,99.69,0.31,0.09507
AVAX–LINK,89.39,10.61,0.13026
AVAX–NEAR,99.32,0.68,0.1422
BTC–AVAX,100.0,0.0,0.15253
ETH–BTC,99.2,0.8,0.16325
BTC–OP,100.0,0.0,0.23108
SOL–OP,100.0,0.0,0.24287
BTC–LINK,100.0,0.0,0.27232
SOL–LDO,100.0,0.0,0.29152
SOL–AVAX,98.91,1.09,0.29253
SOL–LINK,99.45,0.55,0.29577
SOL–BTC,99.99,0.01,0.31477
AVAX–LDO,99.75,0.25,0.31656
SOL–AAVE,80.47,19.53,0.33204
ETH–AVAX,99.99,0.01,0.34934
ETH–OP,100.0,0.0,0.35957
BTC–NEAR,100.0,0.0,0.39729
SOL–NEAR,99.98,0.02,0.4086
BTC–LDO,100.0,0.0,0.42439
AVAX–ARB,99.97,0.03,0.45502
OP–ARB,93.86,6.14,0.4869
SOL–ARB,100.0,0.0,0.55162
ETH–LDO,100.0,0.0,0.55755
SOL–ETH,99.34,0.66,0.5743
ETH–NEAR,100.0,0.0,0.65107
ETH–LINK,100.0,0.0,0.67728
BTC–ARB,100.0,0.0,0.68049
ETH–ARB,100.0,0.0,0.73298
ETH–AAVE,97.22,2.78,0.77227
BTC–AAVE,99.97,0.03,0.79762
