Pair,λ1 %,λ2 %,ADF p-value
NEAR–OP,99.72,0.28,0.00029
AVAX–OP,100.0,0.0,0.00124
NEAR–ARB,99.81,0.19,0.00404
SOL–LINK,99.92,0.08,0.00512
AVAX–NEAR,99.96,0.04,0.00971
AVAX–LDO,99.98,0.02,0.01338
NEAR–LINK,99.89,0.11,0.01879
SOL–NEAR,100.0,0.0,0.02111
SOL–OP,100.0,0.0,0.02219
OP–LINK,99.98,0.02,0.0254
OP–LDO,98.46,1.54,0.02885
ETH–AVAX,100.0,0.0,0.03107
AVAX–LINK,98.49,1.51,0.03159
ETH–OP,100.0,0.0,0.03467
SOL–LDO,100.0,0.0,0.03872
SOL–ETH,99.99,0.01,0.03961
SOL–ARB,100.0,0.0,0.04394
BTC–ARB,100.0,0.0,0.04847
SOL–AVAX,99.77,0.23,0.05035
AVAX–ARB,100.0,0.0,0.05419
NEAR–LDO,98.61,1.39,0.06722
OP–ARB,98.4,1.6,0.07331
ARB–LINK,99.99,0.01,0.09079
BTC–OP,100.0,0.0,0.1028
ETH–LINK,100.0,0.0,0.10416
BTC–NEAR,100.0,0.0,0.12292
ETH–NEAR,100.0,0.0,0.15426
BTC–AAVE,100.0,0.0,0.20673
ARB–AAVE,100.0,0.0,0.20981
ETH–LDO,100.0,0.0,0.26504
ARB–LDO,98.34,1.66,0.27027
BTC–AVAX,100.0,0.0,0.28527
LDO–LINK,99.96,0.04,0.30748
BTC–LINK,100.0,0.0,0.31874
NEAR–AAVE,99.99,0.01,0.33766
OP–AAVE,100.0,0.0,0.3458
ETH–ARB,100.0,0.0,0.35423
ETH–AAVE,99.88,0.12,0.39073
SOL–BTC,100.0,0.0,0.39775
BTC–LDO,100.0,0.0,0.53193
ETH–BTC,99.85,0.15,0.64582
SOL–AAVE,89.16,10.84,0.65655
AVAX–AAVE,99.47,0.53,0.69019
LDO–AAVE,100.0,0.0,0.76997
LINK–AAVE,99.68,0.32,0.86866
